mnk,cuBLAS,PTX,GAS,GAS-mimic
2048,23.16,29.29,34.06,33.79
4096,37.34,35.05,37.18,35.98
8192,39.41,48.40,53.55,49.46
16384,22.84,34.11,52.60,40.20
