mnk,cuda,cuBLAS,PTX,GAS,GAS-mimic,GAS-yield
2048,4.29,5.66,5.23,5.30,5.29,5.25
4096,4.98,7.84,7.57,7.66,7.63,7.60
8192,6.19,7.78,7.65,7.74,7.74,7.67
10240,6.21,7.73,7.63,7.69,7.71,7.66
