mnk,cuda,cuBLAS,PTX,GAS,GAS-mimic
2048,4.29,5.66,5.24,5.30,5.30
4096,5.01,7.88,7.57,7.64,7.65
8192,6.19,7.78,7.65,7.74,7.74
10240,6.23,7.75,7.64,7.68,7.66
